商品代码,说明,市场价值,员工数量,板块,交易所,行业,债务股本比(MRQ),市盈率(TTM),股本回报率 (TTM),市净率(FY),aboveMa1,aboveMa2,maxChange
FGF,FG FINANCIAL GROUP INC,40405311.0,3.0,金融,NASDAQ,财产/财产保险,0.0,,-32.29682938,2.47129769,-1,-1,-1
WHLRD,WHEELER REAL ESTATE INVT TR INC 8.75% CUM CONV PFD SER D USD25,39409400.0,35.0,金融,NASDAQ,房地产投资信托基金,3.44535268,,-1.8470022,,83,40,77
LEDS,SEMILEDS CORPORATION,39279697.6,130.0,电子科技,NASDAQ,电子元器件,6.21639951,,-76.752953,15.10886334,97,3,300
CUBA,HERZFELD CARIBBEAN BASIN FUND,39010100.0,,其他,NASDAQ,投资信托/互惠基金,1.541e-05,,-29.45989946,1.3361541,54,73,105
MNBP,"MARS BANCORP, INC.",37919200.0,,金融,OTC,地区银行,0.18192116,15.47697129,5.65628219,0.84426933,47,44,56
KTEL,"KONATEL, INC.",37803146.70000001,21.0,其他,OTC,其他,0.35768035,,-7.14843447,21.5025219,54,16,1652
INBP,"INTEGRATED BIOPHARMA, INC.",36914676.0,143.0,健康科技,OTC,药品:专业,0.84029131,7.29970326,77.83776002,6.01026142,100,100,209
GPTRF,GRANDE PORTAGE RESOURCES LTD.,36562964.88,,非能源矿业,OTC,其他金属/矿物,0.0,,-11.45084163,3.95366038,-1,-1,-1
GGLDF,GETCHELL GOLD CORPORATION,36293214.828,,非能源矿业,OTC,贵金属,0.0,,-294.53770786,51.60010195,-1,-1,-1
NDP,TORTOISE ENERGY INDEPENDENCE FD INC,35620400.0,,其他,NYSE,投资信托/互惠基金,0.16497868,,-64.81051987,1.17531975,39,0,108
GRF,EAGLE CAPITAL GROWTH FUND INC,35426300.0,,其他,NYSE ARCA,投资信托/互惠基金,0.0,10.43697672,9.30310018,0.95454479,61,64,49
SVBL,"SILVER BULL RESOURCES, INC.",35021851.04,3.0,非能源矿业,OTC,其他金属/矿物,0.00556062,,-28.98362365,3.42690272,30,25,108
IDXG,"INTERPACE BIOSCIENCES, INC.",34959140.00000001,152.0,健康服务,OTC,医疗产业服务,0.70190616,,-97.09403791,,27,12,212
FVANF,FIRST VANADIUM CORP.,34588993.52000001,,非能源矿业,OTC,贵金属,0.0,,-14.19719898,4.64060576,92,0,518
TAIT,TAITRON COMPONENTS INC,33259904.92,16.0,配送服务,NASDAQ,电子经销商,0.01221797,20.39473684,12.35147087,2.45451666,62,54,173
