商品代码,说明,市场价值,员工数量,板块,交易所,行业,债务股本比(MRQ),市盈率(TTM),股本回报率 (TTM),市净率(FY),aboveMa1,aboveMa2,maxChange
2283,TK GROUP HLDG,2557410000.0,,制造业,HKEX,杂项制造,0.27310863,12.1980198,16.21696661,1.83385729,-1,-1,-1
1921,DALIPAL HLDG,2535000000.0,,工业服务,HKEX,油田服务/设备,1.54671423,,-8.26284257,1.69342071,-1,-1,-1
1205,CITIC RESOURCES,2514470000.0,189.0,配送服务,HKEX,批发分销商,0.84973969,,-6.0334112,0.43295315,-1,-1,-1
159,BROCKMAN MINING,2505390000.0,15.0,运输,HKEX,其他运输,0.05170152,,-1.51364434,4.16088766,-1,-1,-1
878,SOUNDWILL HOLD,2501620000.0,,金融,HKEX,房地产开发,0.09169631,,-0.90723574,,-1,-1,-1
830,CSC DEVELOPMENT,2500430000.0,,非能源矿业,HKEX,铝业,0.99629173,12.86031042,15.37322453,1.78217518,-1,-1,-1
2368,EAGLE NICE,2484440000.0,13000.0,非耐用消费品,HKEX,服装/鞋类,0.24510247,8.4159308,20.4971506,1.9113494,-1,-1,-1
1875,TOT BIOPHARM-B,2484130000.0,366.0,健康科技,HKEX,药品:专业,0.01271729,,-39.28231202,3.59106444,-1,-1,-1
1463,C-LINK SQ,2480000000.0,,商业服务,HKEX,杂项商业服务,0.23260872,,-7.56159118,15.89988203,-1,-1,-1
825,NWDS CHINA,2478640000.0,3060.0,零售行业,HKEX,百货公司,1.34833279,,-17.98243695,0.58884322,-1,-1,-1
2003,VCREDIT,2461010000.0,606.0,金融,HKEX,金融/租赁,2.14634368,,-30.81301184,0.90999697,-1,-1,-1
809,GLOBAL BIO-CHEM,2449540000.0,4000.0,加工制造业,HKEX,农副产品,-1.48933676,,,,-1,-1,-1
2698,WEIQIAO TEXTILE,2436550000.0,,加工制造业,HKEX,纺织品,0.12502845,10.68622315,1.07106673,,-1,-1,-1
