商品代码,说明,市场价值,员工数量,部门,交易所,行业,债务股本比(MRQ),市盈率(TTM),股本回报率 (TTM),市净率(FY),RSI(14),accums,currents
600346,恒力石化,190055702637.0,29522.0,制造业,SSE,工业机械,2.25501709,12.26102357,34.4562886,4.05191858,51.21866428,4,-1
300669,沪宁股份,2324650075.0,607.0,制造业,SZSE,电子设备,0.01798388,40.85543062,10.51379154,4.1379826,51.21917681,2,1
002544,杰赛科技,8975550015.0,6373.0,科技服务,SZSE,IT服务,0.45199991,48.36005831,5.72925849,2.15484694,51.22116046,4,1
002531,天顺风能,14948084259.0,2483.0,制造业,SZSE,电子设备,0.8071159,10.45222374,21.48441417,2.20819691,51.22519101,8,-1
000550,江铃汽车,15672032513.78862,13432.0,耐用消费品,SZSE,机动车,0.04710066,26.51877019,6.95158924,1.83148161,51.24454253,7,0
300109,新开源,5229880625.0,962.0,加工制造业,SZSE,化学品：特种,0.28462078,51.75110507,3.06099786,1.59710716,51.24503386,5,0
300719,安达维尔,3735376586.0,609.0,电子科技,SZSE,航空航天 & 国防,0.1576238,35.11705686,10.54397184,3.55322219,51.24963673,5,-2
000425,徐工机械,49822132433.0,15191.0,制造业,SZSE,卡车/建筑/农业机械,0.87004137,10.28460543,15.47457292,1.57156554,51.25245728,6,-5
601990,南京证券,36679292083.0,2001.0,金融,SSE,投资银行/经纪商,1.16955289,45.14519056,5.51327077,2.32350146,51.25371895,3,-2
000875,吉电股份,15150830329.0,4653.0,公用事业,SZSE,发电厂,2.78617778,21.5049505,7.100024,1.49248398,51.26292889,2,-3
000430,张家界,2186015554.0,1074.0,消费者服务,SZSE,其他消费者服务,0.64693925,,-5.71758274,1.44569798,51.27905134,6,-5
600881,亚泰集团,9194425858.0,18866.0,非能源矿业,SSE,建筑材料,1.75161406,61.79039301,1.04648718,0.63109492,51.32830361,5,-6
601328,交通银行,332842667632.6002,84740.0,金融,SSE,大银行,3.01170966,,10.00235061,0.49723533,51.33225116,5,-1
002975,博杰股份,11939133833.0,2041.0,制造业,SZSE,工业机械,0.02101855,30.98760097,30.34602027,8.80323589,51.33531542,6,0
002502,鼎龙文化,3771977891.0,326.0,消费者服务,SZSE,电影/娱乐,0.00776279,410.0,0.64743297,2.66866274,51.34189876,2,-4
003032,传智教育,12218306642.0,1652.0,科技服务,SZSE,套装软件,0.29108619,165.26946652,7.98742671,14.36867336,51.34306964,4,-8
600272,开开实业,1456151726.5548,592.0,非耐用消费品,SSE,服装/鞋类,0.04944895,141.52380952,2.46453896,3.4969149,51.34448134,7,-1
